idsbr,latitude,longitude,geocode_status,geom_wkt
14414955,0.4606790,108.9348000,0,"POINT(108.9348 0.460679)"
14415199,0.3264670,108.9636000,0,"POINT(108.9636 0.326467)"
14415566,0.0227990,109.2911000,0,"POINT(109.2911 0.022799)"
14416410,0.4910950,108.9437000,0,"POINT(108.9437 0.491095)"
14416645,0.0415240,109.2345000,0,"POINT(109.2345 0.041524)"
14416877,0.1778870,109.1550000,0,"POINT(109.155 0.177887)"
14416880,0.3121880,109.0478000,0,"POINT(109.0478 0.312188)"
14418243,0.4958430,108.9260000,0,"POINT(108.926 0.495843)"
14418383,0.2365030,109.1081000,0,"POINT(109.1081 0.236503)"
14418941,0.6296870,109.1840000,0,"POINT(109.184 0.629687)"
14419001,0.2148260,109.1439000,0,"POINT(109.1439 0.214826)"
14419332,0.3850270,108.9488000,0,"POINT(108.9488 0.385027)"
14419361,0.4416620,109.1999000,0,"POINT(109.1999 0.441662)"
14419557,0.3033510,109.1205000,0,"POINT(109.1205 0.303351)"
14419562,0.2808130,109.0729000,0,"POINT(109.0729 0.280813)"
14419862,0.3439530,108.9611000,0,"POINT(108.9611 0.343953)"
14420034,0.4078280,109.2741000,0,"POINT(109.2741 0.407828)"
